company_name,industry,address,search_url,map_url,tel
大彦建設株式会社,建設業,大阪府堺市中区毛穴町３２８番地,https://www.google.com/search?q=%E5%A4%A7%E5%BD%A6%E5%BB%BA%E8%A8%AD%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE,https://maps.google.com/maps?q=%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A0%BA%E5%B8%82%E4%B8%AD%E5%8C%BA%E6%AF%9B%E7%A9%B4%E7%94%BA%EF%BC%93%EF%BC%92%EF%BC%98%E7%95%AA%E5%9C%B0,
笠松建設株式会社,建設業,大阪府堺市堺区北田出井町１丁６番１０号,https://www.google.com/search?q=%E7%AC%A0%E6%9D%BE%E5%BB%BA%E8%A8%AD%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE,https://maps.google.com/maps?q=%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A0%BA%E5%B8%82%E5%A0%BA%E5%8C%BA%E5%8C%97%E7%94%B0%E5%87%BA%E4%BA%95%E7%94%BA%EF%BC%91%E4%B8%81%EF%BC%96%E7%95%AA%EF%BC%91%EF%BC%90%E5%8F%B7,
株式会社金子組,建設業,大阪府堺市北区百舌鳥梅北町３丁１２５番地１７０,https://www.google.com/search?q=%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E9%87%91%E5%AD%90%E7%B5%84,https://maps.google.com/maps?q=%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A0%BA%E5%B8%82%E5%8C%97%E5%8C%BA%E7%99%BE%E8%88%8C%E9%B3%A5%E6%A2%85%E5%8C%97%E7%94%BA%EF%BC%93%E4%B8%81%EF%BC%91%EF%BC%92%EF%BC%95%E7%95%AA%E5%9C%B0%EF%BC%91%EF%BC%97%EF%BC%90,
株式会社河村工務店,建設業,大阪府堺市北区金岡町２３０３番地,https://www.google.com/search?q=%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E6%B2%B3%E6%9D%91%E5%B7%A5%E5%8B%99%E5%BA%97,https://maps.google.com/maps?q=%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A0%BA%E5%B8%82%E5%8C%97%E5%8C%BA%E9%87%91%E5%B2%A1%E7%94%BA%EF%BC%92%EF%BC%93%EF%BC%90%EF%BC%93%E7%95%AA%E5%9C%B0,
株式会社銀座住建,建設業,大阪府堺市堺区向陵中町２丁１番１１号,https://www.google.com/search?q=%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E9%8A%80%E5%BA%A7%E4%BD%8F%E5%BB%BA,https://maps.google.com/maps?q=%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A0%BA%E5%B8%82%E5%A0%BA%E5%8C%BA%E5%90%91%E9%99%B5%E4%B8%AD%E7%94%BA%EF%BC%92%E4%B8%81%EF%BC%91%E7%95%AA%EF%BC%91%EF%BC%91%E5%8F%B7,
株式会社国正建設,建設業,大阪府堺市中区楢葉１０１番地,https://www.google.com/search?q=%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E5%9B%BD%E6%AD%A3%E5%BB%BA%E8%A8%AD,https://maps.google.com/maps?q=%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A0%BA%E5%B8%82%E4%B8%AD%E5%8C%BA%E6%A5%A2%E8%91%89%EF%BC%91%EF%BC%90%EF%BC%91%E7%95%AA%E5%9C%B0,
株式会社堺工務店,建設業,大阪府堺市南区三原台４丁７番１４号,https://www.google.com/search?q=%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E5%A0%BA%E5%B7%A5%E5%8B%99%E5%BA%97,https://maps.google.com/maps?q=%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A0%BA%E5%B8%82%E5%8D%97%E5%8C%BA%E4%B8%89%E5%8E%9F%E5%8F%B0%EF%BC%94%E4%B8%81%EF%BC%97%E7%95%AA%EF%BC%91%EF%BC%94%E5%8F%B7,
新誠建設株式会社,建設業,大阪府堺市堺区山本町５丁１０１番２５,https://www.google.com/search?q=%E6%96%B0%E8%AA%A0%E5%BB%BA%E8%A8%AD%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE,https://maps.google.com/maps?q=%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A0%BA%E5%B8%82%E5%A0%BA%E5%8C%BA%E5%B1%B1%E6%9C%AC%E7%94%BA%EF%BC%95%E4%B8%81%EF%BC%91%EF%BC%90%EF%BC%91%E7%95%AA%EF%BC%92%EF%BC%95,
合同建設株式会社,建設業,大阪府堺市中区東山３９３番地の１,https://www.google.com/search?q=%E5%90%88%E5%90%8C%E5%BB%BA%E8%A8%AD%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE,https://maps.google.com/maps?q=%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A0%BA%E5%B8%82%E4%B8%AD%E5%8C%BA%E6%9D%B1%E5%B1%B1%EF%BC%93%EF%BC%99%EF%BC%93%E7%95%AA%E5%9C%B0%E3%81%AE%EF%BC%91,
株式会社三和組,建設業,大阪府堺市西区鳳西町２丁２３番地１５,https://www.google.com/search?q=%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E4%B8%89%E5%92%8C%E7%B5%84,https://maps.google.com/maps?q=%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A0%BA%E5%B8%82%E8%A5%BF%E5%8C%BA%E9%B3%B3%E8%A5%BF%E7%94%BA%EF%BC%92%E4%B8%81%EF%BC%92%EF%BC%93%E7%95%AA%E5%9C%B0%EF%BC%91%EF%BC%95,
